districtNumber;districtName;orderList;name;age;votes;nomParty;minor
38;Severomoravskı;5;Srnec Petr;42;44;OK-PK;1
38;Severomoravskı;6;Sochor Rudolf;68;23;OK-PK;1
38;Severomoravskı;7;Chromec Michal;50;102;OK-PK;1
38;Severomoravskı;8;Nosreti Dareios;37;36;OK-PK;1
38;Severomoravskı;9;Volnı Jiøí;42;61;OK-PK;1
38;Severomoravskı;10;Gavorová Radmila;41;48;OK-PK;1
38;Severomoravskı;11;Pastròák Petr;48;37;OK-PK;1
38;Severomoravskı;12;Cacková Marcela;40;37;OK-PK;1
38;Severomoravskı;13;Skovajsa František;41;15;OK-PK;1
38;Severomoravskı;15;Nosreti Alena;31;26;OK-PK;1
38;Severomoravskı;16;Kotišová Stanislava;66;22;OK-PK;1
38;Severomoravskı;17;Sochor Vladimír;73;8;OK-PK;1
38;Severomoravskı;18;Macková Blanka;72;6;OK-PK;1
38;Severomoravskı;19;Kubinová Eva;62;7;OK-PK;1
38;Severomoravskı;20;Veømiøovskı Pavel;52;20;OK-PK;1
38;Severomoravskı;21;Kubina Josef;70;8;OK-PK;1
38;Severomoravskı;22;Poledník Milan;52;6;OK-PK;1
38;Severomoravskı;23;Dobšoviè Jozef;47;19;OK-PK;1
38;Severomoravskı;24;Bortlík Erich;64;11;OK-PK;1
38;Severomoravskı;25;Hošek Jaroslav;47;33;OK-PK;1
38;Severomoravskı;26;Mohyla František;53;17;OK-PK;1
38;Severomoravskı;27;Malı Petr;53;13;OK-PK;1
31;Praha;1;Buzková Petra;32;29 295;ÈSSD;0
31;Praha;2;Šplíchal Karel;51;2 638;ÈSSD;0
31;Praha;3;Bašta Jaroslav;50;8 894;ÈSSD;0
31;Praha;4;Køeèek Stanislav;60;11 459;ÈSSD;0
31;Praha;5;David Ivan;45;6 730;ÈSSD;0
31;Praha;6;Volfová Jana;40;2 131;ÈSSD;0
31;Praha;7;Navarová Svìtlana;42;1 997;ÈSSD;0
31;Praha;8;Svoboda Miroslav;36;1 923;ÈSSD;0
31;Praha;9;Koøínková Kvìtoslava;57;8 603;ÈSSD;0
31;Praha;10;Kuvart Miloš;37;2 506;ÈSSD;0
31;Praha;11;Trojan Zdenìk;62;2 413;ÈSSD;0
31;Praha;12;Vırut Karel;57;531;ÈSSD;0
31;Praha;13;Kalivoda Jan;45;1 292;ÈSSD;0
31;Praha;14;Tomèík Jan;50;384;ÈSSD;0
31;Praha;15;Máša Miloš;58;446;ÈSSD;0
31;Praha;16;Koskuba Jiøí;42;1 399;ÈSSD;0
31;Praha;17;Berka Karel;58;1 070;ÈSSD;0
31;Praha;18;Kechner Otto;41;167;ÈSSD;0
31;Praha;19;Metelec Jiøí;47;144;ÈSSD;0
31;Praha;20;Pokornı Petr;48;338;ÈSSD;0
31;Praha;21;Ibl Petr;44;363;ÈSSD;0
31;Praha;22;Dobrı Josef;61;450;ÈSSD;0
31;Praha;23;Petrílek Petr;27;614;ÈSSD;0
31;Praha;24;Peltrám Antonín;67;489;ÈSSD;0
31;Praha;25;Juhász Štefan;64;410;ÈSSD;0
31;Praha;26;Gubín Oleg;62;106;ÈSSD;0
31;Praha;27;Havlík Jan;56;201;ÈSSD;0
31;Praha;28;Šafr Jan;55;200;ÈSSD;0
31;Praha;29;Kricner Water;55;32;ÈSSD;0
31;Praha;30;Grée František;71;87;ÈSSD;0
31;Praha;31;Ptáèek Jiøí;61;101;ÈSSD;0
31;Praha;32;Jannanová Olga;43;336;ÈSSD;0
31;Praha;33;Nováková Eva;42;313;ÈSSD;0
31;Praha;34;Hoffmann Petr;56;368;ÈSSD;0
31;Praha;35;Bodickı Miroslav;47;485;ÈSSD;0
31;Praha;36;Petrová Marie;45;777;ÈSSD;0
32;Støedoèeskı;1;Gross Stanislav;28;36 197;ÈSSD;0
32;Støedoèeskı;2;Bláha Jan;43;4 064;ÈSSD;0
32;Støedoèeskı;3;Urban Milan;39;3 685;ÈSSD;0
32;Støedoèeskı;4;ika Jan;53;4 119;ÈSSD;0
32;Støedoèeskı;5;Pícl Václav;38;3 040;ÈSSD;0
32;Støedoèeskı;6;Boháèková Jarmila;50;3 427;ÈSSD;0
32;Støedoèeskı;7;Vnouèek František;52;760;ÈSSD;0
32;Støedoèeskı;8;Maòásek Jaroslav;55;2 524;ÈSSD;0
32;Støedoèeskı;9;Tøešòák Jiøí;59;921;ÈSSD;0
32;Støedoèeskı;10;Èurdová Anna;36;2 889;ÈSSD;0
32;Støedoèeskı;11;Koníèek František;45;545;ÈSSD;0
32;Støedoèeskı;12;Eliášek Slavomír;34;1 285;ÈSSD;0
32;Støedoèeskı;13;Vondráèek Aleš;61;1 332;ÈSSD;0
32;Støedoèeskı;14;dimera Aleš;32;1 327;ÈSSD;0
32;Støedoèeskı;15;Gregorek Bøetislav;54;944;ÈSSD;0
32;Støedoèeskı;16;Øíha Roman;33;1 046;ÈSSD;0
32;Støedoèeskı;17;Šnajdr Josef;54;303;ÈSSD;0
32;Støedoèeskı;18;Èíek Aleš;45;584;ÈSSD;0
32;Støedoèeskı;19;Vik Ladislav;44;1 455;ÈSSD;0
