districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare
6;Ústeckı;6;Doudová Marie;49;LEV 21;LEV 21;14;2,96
6;Ústeckı;7;Hudec Jaromír;54;LEV 21;LEV 21;19;4,02
6;Ústeckı;8;Kassal Aleš;35;LEV 21;LEV 21;15;3,17
6;Ústeckı;9;Knézel Štìpán;63;LEV 21;BEZPP;23;4,87
6;Ústeckı;10;Andres Jaroslav;47;LEV 21;LEV 21;16;3,38
6;Ústeckı;11;Diveckı Radek;39;LEV 21;LEV 21;21;4,44
6;Ústeckı;12;Valeš Petr;26;LEV 21;LEV 21;3;0,63
6;Ústeckı;13;Holub Milan;52;LEV 21;LEV 21;19;4,02
6;Ústeckı;14;Tomáš Štefan;54;LEV 21;LEV 21;14;2,96
6;Ústeckı;15;Petrik Michael;32;LEV 21;LEV 21;4;0,84
6;Ústeckı;16;Ekrt Tomáš;44;LEV 21;LEV 21;27;5,72
6;Ústeckı;17;Kratochvíl František;51;LEV 21;LEV 21;14;2,96
6;Ústeckı;18;Brabenec Oto;47;LEV 21;LEV 21;12;2,54
6;Ústeckı;19;Beèváø Jiøí;37;LEV 21;LEV 21;9;1,9
6;Ústeckı;20;Kusá Silvie;37;LEV 21;LEV 21;9;1,9
6;Ústeckı;21;Strachota Jiøí;24;LEV 21;LEV 21;5;1,05
6;Ústeckı;22;Tomášová Zlatuše;52;LEV 21;LEV 21;14;2,96
6;Ústeckı;23;Šulcová Kateøina;40;LEV 21;LEV 21;7;1,48
6;Ústeckı;24;Míèková Rùena;57;LEV 21;LEV 21;10;2,11
6;Ústeckı;25;Zemanèík Václav;34;LEV 21;LEV 21;10;2,11
6;Ústeckı;26;Tùma Zdenìk;49;LEV 21;LEV 21;12;2,54
7;Libereckı;1;Král Jaroslav;61;LEV 21;LEV 21;5;2,89
7;Libereckı;2;Charvátová Jitka;45;LEV 21;BEZPP;10;5,78
7;Libereckı;3;Palouš Martin;25;LEV 21;LEV 21;14;8,09
7;Libereckı;4;Trsová Eva;50;LEV 21;LEV 21;2;1,15
7;Libereckı;5;Vízek František;72;LEV 21;LEV 21;5;2,89
7;Libereckı;6;Hampl Libor;62;LEV 21;BEZPP;3;1,73
7;Libereckı;7;Vondráèek Stanislav;51;LEV 21;LEV 21;7;4,04
7;Libereckı;8;Véle Jiøí;23;LEV 21;BEZPP;1;0,57
7;Libereckı;9;Müller Leoš;25;LEV 21;LEV 21;4;2,31
7;Libereckı;10;Zahálková Lucie;24;LEV 21;LEV 21;2;1,15
7;Libereckı;11;Janová Hana;31;LEV 21;LEV 21;9;5,2
