districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare;minor
13;Zlínskı;18;Juriga Antonín;31;KDU-ÈSL;KDU-ÈSL;209;0,5;0
13;Zlínskı;19;Jonášek Antonín;40;KDU-ÈSL;KDU-ÈSL;174;0,41;0
13;Zlínskı;20;Uher Even;52;KDU-ÈSL;KDU-ÈSL;454;1,08;0
13;Zlínskı;21;Jakob Jiøí;26;KDU-ÈSL;KDU-ÈSL;86;0,2;0
13;Zlínskı;22;Kadlicová Barbora;25;KDU-ÈSL;KDU-ÈSL;72;0,17;0
14;Moravskoslezskı;1;Carbol Jiøí;47;KDU-ÈSL;KDU-ÈSL;4 761;10,85;0
14;Moravskoslezskı;2;Vícha Josef;56;KDU-ÈSL;KDU-ÈSL;3 695;8,42;0
14;Moravskoslezskı;3;Janek Alois;47;KDU-ÈSL;KDU-ÈSL;1 910;4,35;0
14;Moravskoslezskı;4;Staòková Marcela;40;KDU-ÈSL;KDU-ÈSL;1 595;3,63;0
14;Moravskoslezskı;5;Pomikálek Václav;44;KDU-ÈSL;KDU-ÈSL;540;1,23;0
14;Moravskoslezskı;6;Holáò Vilém;67;KDU-ÈSL;KDU-ÈSL;2 540;5,79;0
14;Moravskoslezskı;7;itníková Gabriela;31;KDU-ÈSL;KDU-ÈSL;1 202;2,74;0
14;Moravskoslezskı;8;Hluchník Vilém;49;KDU-ÈSL;KDU-ÈSL;899;2,05;0
14;Moravskoslezskı;9;Hartmann Petr;45;KDU-ÈSL;KDU-ÈSL;854;1,94;0
14;Moravskoslezskı;10;Trojka Michael;36;KDU-ÈSL;KDU-ÈSL;711;1,62;0
14;Moravskoslezskı;11;Navrátil Jiøí;28;KDU-ÈSL;KDU-ÈSL;208;0,47;0
14;Moravskoslezskı;12;Chamráth Rudolf;45;KDU-ÈSL;KDU-ÈSL;746;1,7;0
14;Moravskoslezskı;13;Dolanskı Bohumil;44;KDU-ÈSL;KDU-ÈSL;1 001;2,28;0
14;Moravskoslezskı;14;Pliska Ludìk;38;KDU-ÈSL;KDU-ÈSL;227;0,51;0
14;Moravskoslezskı;15;Forišková Dana;50;KDU-ÈSL;BEZPP;261;0,59;0
14;Moravskoslezskı;16;Gelnar Vladimír;55;KDU-ÈSL;KDU-ÈSL;170;0,38;0
14;Moravskoslezskı;17;Slováèek Vít;45;KDU-ÈSL;KDU-ÈSL;530;1,2;0
14;Moravskoslezskı;18;Škrabiš Emil;66;KDU-ÈSL;KDU-ÈSL;719;1,63;0
14;Moravskoslezskı;19;Pindejová Kateøina;39;KDU-ÈSL;KDU-ÈSL;307;0,7;0
14;Moravskoslezskı;20;Legerskı Jan;48;KDU-ÈSL;KDU-ÈSL;171;0,38;0
14;Moravskoslezskı;21;Praáková Vìra;44;KDU-ÈSL;KDU-ÈSL;326;0,74;0
14;Moravskoslezskı;22;Suè Jaromír;31;KDU-ÈSL;KDU-ÈSL;118;0,26;0
14;Moravskoslezskı;23;Stavinoha Karel;59;KDU-ÈSL;KDU-ÈSL;129;0,29;0
14;Moravskoslezskı;24;Kudela Petr;37;KDU-ÈSL;KDU-ÈSL;162;0,36;0
14;Moravskoslezskı;25;Vebera Ludìk;47;KDU-ÈSL;KDU-ÈSL;205;0,46;0
14;Moravskoslezskı;26;Šastník Petr;30;KDU-ÈSL;KDU-ÈSL;106;0,24;0
14;Moravskoslezskı;27;Drábek Ivan;59;KDU-ÈSL;KDU-ÈSL;429;0,97;0
14;Moravskoslezskı;28;Vrchoveckı František;52;KDU-ÈSL;KDU-ÈSL;151;0,34;0
14;Moravskoslezskı;29;Janalík Václav;48;KDU-ÈSL;KDU-ÈSL;79;0,18;0
14;Moravskoslezskı;30;Prusek Josef;44;KDU-ÈSL;KDU-ÈSL;122;0,27;0
14;Moravskoslezskı;31;Škareckı Tomáš;46;KDU-ÈSL;KDU-ÈSL;110;0,25;0
14;Moravskoslezskı;32;Šujan Vojtìch;38;KDU-ÈSL;KDU-ÈSL;86;0,19;0
14;Moravskoslezskı;33;Pùèek Jan;57;KDU-ÈSL;KDU-ÈSL;44;0,1;0
14;Moravskoslezskı;34;Pchálek Jiøí;56;KDU-ÈSL;KDU-ÈSL;133;0,3;0
14;Moravskoslezskı;35;Harasimová Marcela;32;KDU-ÈSL;KDU-ÈSL;215;0,49;0
14;Moravskoslezskı;36;Kaleta Petr;33;KDU-ÈSL;KDU-ÈSL;149;0,33;0
1;Hl. m. Praha;1;Bok John;60;NEZ/DEM;NEZ/DEM;97;3,63;1
1;Hl. m. Praha;2;Zikmund Roman;39;NEZ/DEM;NEZ/DEM;48;1,8;1
1;Hl. m. Praha;3;Bernard Daniel;48;NEZ/DEM;NEZ/DEM;29;1,08;1
1;Hl. m. Praha;4;Dubanskı Bohuslav;30;NEZ/DEM;NEZ/DEM;15;0,56;1
1;Hl. m. Praha;5;Kucharczyková Ilona;47;NEZ/DEM;NEZ/DEM;82;3,07;1
1;Hl. m. Praha;6;Jindrák Miroslav;55;NEZ/DEM;NEZ/DEM;47;1,76;1
1;Hl. m. Praha;7;Picka Emil;72;NEZ/DEM;NEZ/DEM;11;0,41;1
1;Hl. m. Praha;8;Verner Pavel;66;NEZ/DEM;NEZ/DEM;10;0,37;1
1;Hl. m. Praha;9;Èápová Daniela;33;NEZ/DEM;NEZ/DEM;55;2,06;1
1;Hl. m. Praha;10;Pfister Ronald;35;NEZ/DEM;NEZ/DEM;9;0,33;1
1;Hl. m. Praha;11;Nádeník Robert;50;NEZ/DEM;NEZ/DEM;2;0,07;1
1;Hl. m. Praha;12;Kysuèan Pavel;38;NEZ/DEM;NEZ/DEM;6;0,22;1
1;Hl. m. Praha;13;Grüner David;26;NEZ/DEM;NEZ/DEM;22;0,82;1
1;Hl. m. Praha;14;Klièková Lucie;25;NEZ/DEM;NEZ/DEM;25;0,93;1
1;Hl. m. Praha;15;Hromádka Ondøej;26;NEZ/DEM;NEZ/DEM;17;0,63;1
1;Hl. m. Praha;16;Nováková Vanda;45;NEZ/DEM;NEZ/DEM;7;0,26;1
1;Hl. m. Praha;17;Viktoriová Kateøina;34;NEZ/DEM;NEZ/DEM;21;0,78;1
1;Hl. m. Praha;18;Maneová Petra;57;NEZ/DEM;NEZ/DEM;6;0,22;1
1;Hl. m. Praha;19;Kunst Ivan;54;NEZ/DEM;NEZ/DEM;3;0,11;1
1;Hl. m. Praha;20;Michal Karel;60;NEZ/DEM;NEZ/DEM;10;0,37;1
1;Hl. m. Praha;21;Postler Martin;40;NEZ/DEM;NEZ/DEM;8;0,3;1
1;Hl. m. Praha;22;Skarytka Daniel;38;NEZ/DEM;NEZ/DEM;3;0,11;1
1;Hl. m. Praha;23;Schmidt Jiøí;45;NEZ/DEM;NEZ/DEM;0;0;1
1;Hl. m. Praha;24;Grüner Karel;74;NEZ/DEM;NEZ/DEM;10;0,37;1
1;Hl. m. Praha;25;Stanovskı Petr;46;NEZ/DEM;NEZ/DEM;3;0,11;1
1;Hl. m. Praha;26;Matlík Martin;37;NEZ/DEM;NEZ/DEM;1;0,03;1
1;Hl. m. Praha;27;Novák Jaroslav;58;NEZ/DEM;NEZ/DEM;2;0,07;1
1;Hl. m. Praha;28;Spura Jaroslav;64;NEZ/DEM;NEZ/DEM;3;0,11;1
