nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,valid
5,ZRS,42,Peter,Slezák,,59,robotník,Temeš,1
5,ZRS,43,Renáta,Kaliská,,30,zdravotná sestra,Banská Bystrica,1
5,ZRS,44,Marko,Kuchta,,59,politológ - dôchodca,Liptovská Lúna,1
5,ZRS,45,Miroslav,Ivan,,23,automechanik,Lukaèovce,1
5,ZRS,46,Cyril,Ivan,Dr.,72,pedagóg,Nitra,1
5,ZRS,47,Bartolomej,Sisák,,63,dôchodca,Vechec,1
5,ZRS,48,¼ubomír,Dado,,48,elektrotechnik,Krupina,1
5,ZRS,49,Miroslav,Brada,Mgr.,58,psychológ,Zvolen,1
5,ZRS,50,Danka,Behúlová,,42,robotníèka,Dubnica nad Váhom,1
5,ZRS,51,Katarína,Slivková,,59,dôchodkyòa,Spišskı Štiavnik,1
5,ZRS,52,Katarína,Šágiová,,32,osobná pokladníèka - administratíva,Rastislavice,1
5,ZRS,53,Albert,Mikó,,42,sprievodca osobnıch vlakov,Levice,1
5,ZRS,54,Jozef,Pecha,,36,terénny sociálny pracovník,Spišská Nová Ves,1
5,ZRS,55,Štefan,Kostursky,,50,robotník,Ruomberok,1
5,ZRS,56,Magdaléna,Strigáèová,,52,ivnostníèka,Hriòová,1
5,ZRS,57,Štefan,Gabèan,,52,stavebnı technik,Ladzany,1
5,ZRS,58,Dušan,Boháèik,,49,ivnostník,Banská Bystrica,1
5,ZRS,59,Katarína,Ho¾anová,,39,archivárka,ilina,1
5,ZRS,60,Martin,Tušèák,,24,vedúci obchodnej skupiny,Levoèa,1
5,ZRS,61,Andrej,Palašta,,27,vodiè,Košarovce,1
5,ZRS,62,Jozef,Dzurov,,52,kuchár,Hankovce,1
5,ZRS,63,Marta,Varcho¾aková,,30,robotníèka,Stakèín,1
5,ZRS,64,Dana,Roháèová,,40,uèite¾ka,Humenné,1
5,ZRS,65,Boena,Chomová,,48,ekonómka,Medzilaborce,1
5,ZRS,66,Marek,Kelèák,,30,automechanik,Gruzovce,1
