;again;party1;party2;mp;loyal
318;Semrád Milan;ÈSSD;ÈSSD;0;1
319;Buzková Petra;ÈSSD;ÈSSD;1;1
320;Prùša František;ÈSSD;ÈSSD;0;1
321;Vítek Jaroslav;ÈSSD;ÈSSD;0;1
322;Kožíšek Oldøich;ÈSSD;ÈSSD;0;1
323;Strachota Antonín;ÈSSD;ÈSSD;0;1
324;Hrdý Karel;ÈSSD;KDU-ÈSL;1;0
325;Zelníèek František;ÈSSD;ÈSSD;0;1
326;Chobot František;ÈSSD;ÈSSD;0;1
327;Ostøanský Jiøí;ÈSSD;ÈSSD;0;1
328;Gola František;ÈSSD;ÈSSD;0;1
329;Kylar Leoš;HSD-SMS;HSMSMNSJ;0;0
330;Hrdonka Václav;HSD-SMS;LB;0;0
331;Macháèek Jiøí;HSD-SMS;ÈMUS;1;0
332;Fuchsová Jana;HSD-SMS;HSMSMNSJ;0;0
333;Marša Igor;HSD-SMS;HSMSMNSJ;0;0
334;Kupka Jaroslav;HSD-SMS;HSMSMNSJ;0;0
335;Konsbul Otakar;HSD-SMS;ÈMUS;0;0
336;Trecha Jiøí;HSD-SMS;MNS-HSS;0;0
337;Sobol Slavomír;HSD-SMS;HSMSMNSJ;0;0
338;Šabata Miloslav;D92;CAO;0;0
339;Stibral Jiøí;KDU-ÈSL;DEU;0;0
340;Duchek Karel;KDU-ÈSL;KDU-ÈSL;0;1
341;Hora Václav;KDU-ÈSL;KDU-ÈSL;0;1
342;Šmrha Václav;KDU-ÈSL;KDU-ÈSL;0;1
343;Mach Karel;KDU-ÈSL;KDU-ÈSL;1;1
344;Jelínek Jan;KDU-ÈSL;KDU-ÈSL;0;1
345;Fuèík Václav;KDU-ÈSL;KDU-ÈSL;0;1
346;Houdek Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
347;Talíø Jaromír;KDU-ÈSL;KDU-ÈSL;0;1
348;Šulc Petr;KDU-ÈSL;KDU-ÈSL;0;1
349;Veselka Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
350;Válek Vojtìch;KDU-ÈSL;KDU-ÈSL;0;1
351;Derner Vladimír;KDU-ÈSL;KDU-ÈSL;0;1
352;Rafaja František;KDU-ÈSL;KDU-ÈSL;0;1
353;Novák Antonín;KDU-ÈSL;KSÈM;0;0
354;Veselý Josef;SÈPŽR;SD-LSNS;0;0
355;Novotný Ladislav;SÈPŽR;SD-LSNS;0;0
356;Vlk Ivan;SÈPŽR;SD-LSNS;0;0
357;Kratochvíl Vladimír;SÈPŽR;SD-LSNS;0;0
358;Štìpánek Zdenìk;HSS;ÈMUS;0;0
359;Streckerová Vendulka;HSS;ÈMUS;0;0
360;Kostýlek Eduard;HSS;SÈK;0;0
361;Klíma Karel;LSU;SZ;0;0
362;Pøíhoda Zdenìk;LSU;SZ;0;0
363;Pajtl Ivan;LSU;NEZ;0;0
364;Oslej Dušan;LSU;SZ;0;0
365;Kollár Evžen;LSU;SZ;0;0
366;Sopko Kamil;LSU;SZ;0;0
367;Kozák Stanislav;LSU;KDU-ÈSL;1;0
368;Vlèek Jaroslav;LSU;ÈSSD;1;0
369;Orgoníková Hana;LSU;ÈSSD;1;0
370;Vraný Jan;LSU;KDU-ÈSL;1;0
371;Drápela Jiøí;LSU;ÈMUS;1;0
372;Køížek Josef;LSU;ÈMUS;1;0
373;Kalousek Jaroslav;LSU;SD-LSNS;0;0
374;Ruschka Evžen;LSU;SD-LSNS;0;0
375;Skopal Jaroslav;LSU;SD-LSNS;0;0
376;Jelínek Josef;LSU;ODA;0;0
377;Boloòský Stanislav;OH;NEZ;0;0
378;Sokol Tomáš;OH;SD-LSNS;0;0
379;Novák František;OH;SD-LSNS;0;0
380;Kunetka Ivan;OH;SD-LSNS;0;0
381;Novák Jaroslav;SPR-RSÈ;SPR-RSÈ;1;1
382;Vlèek Zdenìk;SPR-RSÈ;LB;1;0
383;Matoušková Eva;SPR-RSÈ;ODA;1;0
384;Valenta Josef;SPR-RSÈ;SPR-RSÈ;1;1
385;Unger Jaroslav;SPR-RSÈ;NEZ;1;0
386;Loukota Milan;SPR-RSÈ;SPR-RSÈ;1;1
387;Vrcha Oldøich;SPR-RSÈ;SPR-RSÈ;1;1
388;Pešek Milan;SPR-RSÈ;SPR-RSÈ;0;1
389;Èech František;KAN;ÈSSD;0;0
390;Vamberová Daniela;KAN;DEU;0;0
391;Ganzwohl Vladimír;KAN;CAO;0;0
392;Kny Richard;KAN;DEU;0;0
393;Øebíèek Miloš;KAN;CAO;0;0
394;Dražan Tomáš;KAN;DEU;0;0
395;Šíma Daniel;KAN;ODS;0;0
396;Puk Jaromír;KAN;ODA;0;0
397;Kasperèík Karel;KAN;DEU;0;0
398;Votava Vratislav;LB (KSÈM);KSÈM;1;0
399;Sádlo Jiøí;LB (KSÈM);LB;0;0
400;Rožánek Karel;LB (KSÈM);KSÈM;0;0
401;Mašek Jiøí;LB (KSÈM);SD-LSNS;0;0
402;Izakoviè Pavol;LB (KSÈM);SDL;0;0
403;Èapský Jaroslav RS;LB (KSÈM);KSÈM;0;0
404;Bezdíèek Petr;LB (KSÈM);LB;0;0
405;Bunïálek Pavel;NEI;MNS-HSS;0;0
406;Payne Jiøí;ODS;ODS;1;1
407;Marvanová Hana;ODS;ODS;1;1
408;Koháèek Petr;ODS;ODS;1;1
409;Páv Tomáš;ODS;ODS;1;1
410;Gjuriè Andrej;ODS;ODS;1;1
411;Zemina Ondøej;ODS;ODS;1;1
412;Krámek Jan;ODS;ODS;1;1
413;Koláøová Milena;ODS;ODS;1;1
414;Tichotová Pøibyslava;ODS;DEU;0;0
415;Krejèí Petr;ODS;ODS;0;1
416;Vlach Jiøí;ODS;ODS;1;1
417;Rosol Jindøich;ODS;ODS;0;1
418;Volák Stanislav;ODS;ODS;1;1
419;Vrzal Ivan;ODS;ODS;1;1
420;Budinský Vladimír;ODS;ODS;1;1
421;Kadlecová Milada;ODS;ODS;1;1
422;Holub Josef;ODS;ODS;1;1
423;Vojíø Oldøich;ODS;ODS;0;1
424;Bartoš Vladimír;ODS;ODS;0;1
425;Panenka Pavel;ODS;ODS;0;1
426;Stráský Jan;ODS;ODS;1;1
427;Jaroš Emil;ODS;ODS;1;1
428;Zima Anton;ODS;ODS;1;1
429;Pìnièka Stanislav;ODS;ODS;1;1
430;Nájemník Václav;ODS;ODS;1;1
431;Horníková Zdeòka;ODS;ODS;0;1
432;Uhde Milan;ODS;ODS;1;1
433;Pøibáò Martin;ODS;ODS;1;1
434;Vlèek Vlastimil;ODS;ODS;1;1
435;Zicha Vlastimil;ODS;ODS;0;1
436;Vejvoda Ladislav;ODS;ODS;0;1
437;Novák Rostislav;ODS;ODS;0;1
438;Pejøil František;ODS;ODS;0;1
439;Novák Libor;ODS;ODS;1;1
440;Neèas Petr;ODS;ODS;1;1
441;Kalus Jaromír;ODS;ODS;1;1
