;again;party1;party2;mp;loyal
256;Patzelt Jan;SPOZ;ANO 2011;0;0
257;Honegrová Jaroslava;SPOZ;SPOZ;0;1
258;Florian Roman;SPOZ;SPOZ;0;1
259;Vagenknecht Tomáš;SPOZ;SPOZ;0;1
260;Rejda Tomáš;SPOZ;SPOZ;0;1
261;Dejdar Daniel;SPOZ;SPOZ;0;1
262;Trávník Bohumil;SPOZ;SPOZ;0;1
263;Kodys Josef;SPOZ;SPOZ;0;1
264;Najda Vladimír;SPOZ;SPOZ;0;1
265;Foltın Milan;SPOZ;SPOZ;0;1
266;Bauer Rudolf;SPOZ;SPOZ;0;1
267;Longaver Karel;SPOZ;SPOZ;0;1
268;Augustin Radek;SPOZ;SPOZ;0;1
269;Pospíšilík Radek;SPOZ;SPOZ;0;1
270;Petrelková Hana;SPOZ;SPOZ;0;1
271;Kruliš Vladimír;SPOZ;SPOZ;0;1
272;Zachveja Matej;SPOZ;SPOZ;0;1
273;Feber Ondøej;SPOZ;SPOZ;0;1
274;Schwarzenberg Karel;TOP 09;TOP 09;1;1
275;Polèák Stanislav;TOP 09;TOP 09;1;1
276;Korte Daniel;TOP 09;TOP 09;1;1
277;Laudát František;TOP 09;TOP 09;1;1
278;Pecková Gabriela;TOP 09;TOP 09;1;1
279;Dlouhı Martin;TOP 09;TOP 09;0;1
280;Kalousek Miroslav;TOP 09;TOP 09;1;1
281;Smutnı Jan;TOP 09;TOP 09;1;1
282;Holeèek Petr;TOP 09;TOP 09;1;1
283;Nechanickı Pavel;TOP 09;TOP 09;0;1
284;Tureèek Karel;TOP 09;TOP 09;0;1
285;Bezecnı Zdenìk;TOP 09;TOP 09;1;1
286;Houba Jaroslav;TOP 09;TOP 09;0;1
287;Matìjù Václav;TOP 09;TOP 09;0;1
288;Gregora Martin;TOP 09;TOP 09;1;1
289;Koøínek Jiøí;TOP 09;DSSS;0;0
290;eníšek Marek;TOP 09;TOP 09;0;1
291;Janek Michal;TOP 09;TOP 09;1;1
292;Èíek Pavel;TOP 09;TOP 09;0;1
293;Janoušek Aleš;TOP 09;TOP 09;0;1
294;Zahradníèek Petr;TOP 09;TOP 09;0;1
295;Chlad Rudolf;TOP 09;TOP 09;1;1
296;Dvoøák Jaromír;TOP 09;ÈSSD;0;0
297;Brantl Zdenìk;TOP 09;KDU-ÈSL;0;0
298;Boèek Pavel;TOP 09;Svobodní;0;0
299;Liška Petr;TOP 09;TOP 09;0;1
300;Šoral Zdenìk;TOP 09;TOP 09;0;1
301;Kopeckı Karel;TOP 09;TOP 09;0;1
302;Mìsíc Petr;TOP 09;TOP 09;0;1
303;Marušiak Jan;TOP 09;TOP 09;0;1
304;Støíbrnı Vladimír;TOP 09;TOP 09;0;1
305;Heger Leoš;TOP 09;TOP 09;1;1
306;Oliva Jiøí;TOP 09;TOP 09;1;1
307;Zedník Jaroslav;TOP 09;TOP 09;0;1
308;Štìpánová Hana;TOP 09;TOP 09;0;1
309;Cempírek Václav;TOP 09;TOP 09;1;1
310;Bäuchel Luboš;TOP 09;TOP 09;0;1
311;Mlateèek Ladislav;TOP 09;TOP 09;0;1
312;Netolickı Luboš;TOP 09;TOP 09;0;1
313;Honzárek Libor;TOP 09;TOP 09;0;1
314;Schejbalová Jaroslava;TOP 09;TOP 09;1;1
315;Kostøica Rom;TOP 09;TOP 09;1;1
316;Vašíèek Vojtìch;TOP 09;TOP 09;0;1
317;Boek Dominik;TOP 09;TOP 09;0;1
318;Tøetina Tomáš;TOP 09;TOP 09;0;1
319;Chalánková Jitka;TOP 09;TOP 09;1;1
320;Brázda Radek;TOP 09;TOP 09;0;1
321;Vlach Ivo;TOP 09;TOP 09;0;1
322;Koleèkáøová Blanka;TOP 09;TOP 09;0;1
323;Klein Jiøí;TOP 09;TOP 09;0;1
324;Machová Eva;TOP 09;TOP 09;0;1
325;Koèí Vlasta;TOP 09;TOP 09;0;1
326;Èíhalová Jarmila;TOP 09;TOP 09;0;1
327;Mergenthalová Lenka;TOP 09;TOP 09;0;1
328;Špendlík Michal;TOP 09;TOP 09;0;1
329;Fila Tomáš;TOP 09;HLVZHÙRU;0;0
330;Jungmann Pavel;TOP 09;TOP 09;0;1
331;Bubeníková Ludmila;TOP 09;TOP 09;1;1
332;Mores Václav;TOP 09;TOP 09;0;1
333;Papuga Tomáš;TOP 09;TOP 09;0;1
334;Špetla Martin;TOP 09;TOP 09;0;1
335;Hošek Marián;KDU-ÈSL;KDU-ÈSL;0;1
336;Philipp Tom;KDU-ÈSL;KDU-ÈSL;0;1
337;Mareš Pavel;KDU-ÈSL;KDU-ÈSL;0;1
338;Rázková Daniela;KDU-ÈSL;KDU-ÈSL;0;1
339;Tùmová Pavla;KDU-ÈSL;KDU-ÈSL;0;1
340;Müller Miloslav;KDU-ÈSL;KDU-ÈSL;0;1
341;Burgr Petr;KDU-ÈSL;KDU-ÈSL;0;1
342;Èiinskı Jan;KDU-ÈSL;KDU-ÈSL;0;1
343;Král Jiøí;KDU-ÈSL;KDU-ÈSL;0;1
344;Kroupa Karel;KDU-ÈSL;KDU-ÈSL;0;1
345;Roubíková Vlasta;KDU-ÈSL;KDU-ÈSL;0;1
