X.U.FEFF.again,party1,party2,order1,order2,change,minor,loyal,improveParty,improveParty2,improvePosition,origPartyDissolved,year1,minorMajor,minorMinor,majorMajor,majorMinor
Árpád Duka-Zólyomi,SMK-MKP,SMK-MKP,5,23,18,0,1,1,0,0,0,1998,0,0,1,0
Pál Farkas,SMK-MKP,SMK-MKP,6,5,-1,0,1,1,0,1,0,1998,0,0,1,0
Gyula Bárdos,SMK-MKP,SMK-MKP,8,3,-5,0,1,1,0,1,0,1998,0,0,1,0
István Harna,SMK-MKP,SMK-MKP,9,15,6,0,1,1,0,0,0,1998,0,0,1,0
László Szigeti,SMK-MKP,SMK-MKP,11,6,-5,0,1,1,0,1,0,1998,0,0,1,0
József Kvarda,SMK-MKP,SMK-MKP,12,26,14,0,1,1,0,0,0,1998,0,0,1,0
László Köteles,SMK-MKP,SMK-MKP,14,7,-7,0,1,1,0,1,0,1998,0,0,1,0
László Hóka,SMK-MKP,SMK-MKP,15,150,135,0,1,1,0,0,0,1998,0,0,1,0
István Mázik,SMK-MKP,SMK-MKP,17,65,48,0,1,1,0,0,0,1998,0,0,1,0
László Gyurovszky,SMK-MKP,SMK-MKP,18,4,-14,0,1,1,0,1,0,1998,0,0,1,0
Erzsébet Dolník,SMK-MKP,SMK-MKP,19,20,1,0,1,1,0,0,0,1998,0,0,1,0
József Berényi,SMK-MKP,SMK-MKP,20,11,-9,0,1,1,0,1,0,1998,0,0,1,0
Klára Sárközy,SMK-MKP,SMK-MKP,21,21,0,0,1,1,0,1,0,1998,0,0,1,0
Olga Szabó,SMK-MKP,SMK-MKP,22,60,38,0,1,1,0,0,0,1998,0,0,1,0
István Pásztor,SMK-MKP,SMK-MKP,27,25,-2,0,1,1,0,1,0,1998,0,0,1,0
Zsolt Komlósy,SMK-MKP,SMK-MKP,29,10,-19,0,1,1,0,1,0,1998,0,0,1,0
Béla Angyal,SMK-MKP,SMK-MKP,30,32,2,0,1,1,0,0,0,1998,0,0,1,0
Zoltán Boros,SMK-MKP,SMK-MKP,32,40,8,0,1,1,0,0,0,1998,0,0,1,0
Ernő Rózsa,SMK-MKP,SMK-MKP,35,79,44,0,1,1,0,0,0,1998,0,0,1,0
Imre Nagy,SMK-MKP,SMK-MKP,51,76,25,0,1,1,0,0,0,1998,0,0,1,0
Sándor Papp,SMK-MKP,SMK-MKP,52,113,61,0,1,1,0,0,0,1998,0,0,1,0
Ladislav Iván,SMK-MKP,SMK-MKP,57,148,91,0,1,1,0,0,0,1998,0,0,1,0
Pavel Zachar,SMK-MKP,SMK-MKP,59,57,-2,0,1,1,0,1,0,1998,0,0,1,0
Sándor Bastrnák,SMK-MKP,SMK-MKP,61,90,29,0,1,1,0,0,0,1998,0,0,1,0
Gábor Rusznák,SMK-MKP,SMK-MKP,63,36,-27,0,1,1,0,1,0,1998,0,0,1,0
László Lakatos,SMK-MKP,SMK-MKP,65,101,36,0,1,1,0,0,0,1998,0,0,1,0
János Juhász,SMK-MKP,SMK-MKP,70,69,-1,0,1,1,0,1,0,1998,0,0,1,0
Fridrich Nagy,SMK-MKP,SMK-MKP,74,67,-7,0,1,1,0,1,0,1998,0,0,1,0
Ladislav Matiaško,SMK-MKP,SMK-MKP,86,91,5,0,1,1,0,0,0,1998,0,0,1,0
Miklós Fehér,SMK-MKP,SMK-MKP,87,66,-21,0,1,1,0,1,0,1998,0,0,1,0
Frigyes Matus,SMK-MKP,SMK-MKP,95,33,-62,0,1,1,0,1,0,1998,0,0,1,0
Jozef Hunyák,SMK-MKP,SMK-MKP,96,136,40,0,1,1,0,0,0,1998,0,0,1,0
