;X;again;party1;party2;order1;order2;change;minor;loyal;improveParty;improveParty2;improvePosition;origPartyDissolved;year1;minorMajor;minorMinor;majorMajor;majorMinor;switch;new2;switchMiMa;switchMiMi;switchMaMa;switchMaMi;mp
158;158;VladimÌr Homola;HZDS;HZDS;50;94;44;0;1;NA;NA;0;NA;1994;0;0;1;0;0;0;0;0;0;0;0
159;159;VladimÌr œaÔo;KSS;KSS;1;1;0;1;1;NA;NA;1;NA;1994;0;1;0;0;0;0;0;0;0;0;0
160;160;Anton Trebuæa;KSS;KSS;2;17;15;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
161;161;M·ria Tresùansk·;KSS;KSS;3;11;8;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
162;162;Samuel Zubo;KSS;KSS;5;5;0;1;1;NA;NA;1;NA;1994;0;1;0;0;0;0;0;0;0;0;0
163;163;J·n äevc;KSS;KSS;7;43;36;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
164;164;Rudolf Greöko;KSS;KSS;13;49;36;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
165;165;Milota Kaöicov·;KSS;KSS;14;59;45;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
166;166;J·n Karman;KSS;KSS;15;35;20;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
167;167;Milan älapka;KSS;KSS;18;56;38;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
168;168;Viera Dz˙rov·;KSS;KSS;19;97;78;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
169;169;J·n Kyzek;KSS;KSS;32;67;35;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
170;170;M·ria äimunov·;KSS;KSS;33;73;40;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
171;171;Miroslav Samiec;KSS;KSS;37;21;-16;1;1;NA;NA;1;NA;1994;0;1;0;0;0;0;0;0;0;0;0
172;172;Jozef FuËek;KSS;KSS;39;32;-7;1;1;NA;NA;1;NA;1994;0;1;0;0;0;0;0;0;0;0;0
173;173;Miroslav Zub·rik;KSS;KSS;42;88;46;1;1;NA;NA;0;NA;1994;0;1;0;0;0;0;0;0;0;0;0
174;174;J·n Gregor;KSS;KSS;45;15;-30;1;1;NA;NA;1;NA;1994;0;1;0;0;0;0;0;0;0;0;0
175;175;Viliam Oberhauser;KSU;SNS;1;5;4;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
176;176;Anton Vanko;KSU;SNS;4;63;59;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
177;177;J·n Sekereö;KSU;SNS;7;78;71;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
178;178;Marek Murajda;KSU;SNS;10;23;13;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
179;179;Jozef S·sik;KSU;SLS;15;2;-13;1;0;NA;NA;1;NA;1994;0;1;0;0;1;1;0;1;0;0;0
180;180;Mari·n Rakovsk˝;KSU;SNS;24;95;71;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
181;181;Milan Ftorek;KSU;SNS;28;96;68;1;0;NA;NA;0;NA;1994;1;0;0;0;1;0;1;0;0;0;0
182;182;Michal Jedin·k;KSU;SNS;36;36;0;1;0;NA;NA;1;NA;1994;1;0;0;0;1;0;1;0;0;0;0
183;183;Ladislav Pittner;KDH;SDK;1;16;15;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
184;184;J·n Biba;KDH;SDK;5;49;44;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
185;185;Peter Zajac;KDH;SDK;6;26;20;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
186;186;Martin Fronc;KDH;SDK;7;24;17;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
187;187;J·n PetrÌk;KDH;SDK;10;123;113;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
188;188;Anna Z·borsk·;KDH;SDK;11;32;21;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
189;189;Miroslav Mikol·öik;KDH;SDK;12;42;30;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
190;190;Stanislav Janiö;KDH;SDK;13;63;50;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
191;191;Peter Tat·r;KDH;SDK;28;40;12;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
192;192;Jozef Valko;KDH;SDK;36;73;37;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
193;193;Zsolt KomlÛsy;MK;SMK;1;29;28;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
194;194;Zolt·n Boros;MK;SMK;3;32;29;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;1
195;195;Istv·n Kov·cs;MK;SMK;5;39;34;0;0;NA;NA;0;NA;1994;0;0;1;0;1;1;0;0;1;0;0
